Date,Temperature
2013-01-01,28
2013-01-02,21
2013-01-03,24
2013-01-04,28
2013-01-05,30
2013-01-06,34
2013-01-07,29
2013-01-08,31
2013-01-09,36
2013-01-10,34
2013-01-11,47
2013-01-12,55
2013-01-13,62
2013-01-14,44
2013-01-15,30
2013-01-16,32
2013-01-17,32
2013-01-18,24
2013-01-19,42
2013-01-20,35
2013-01-21,18
2013-01-22, 9
2013-01-23,11
2013-01-24,16
2013-01-25,16
2013-01-26,23
2013-01-27,23
2013-01-28,40
2013-01-29,59
2013-01-30,58
2013-01-31,32
2013-03-01,28
2013-03-02,26
2013-03-03,24
2013-03-04,28
2013-03-05,32
2013-03-06,34
2013-03-07,36
2013-03-08,32
2013-03-09,40
2013-03-10,55
2013-03-11,55
2013-03-12,40
2013-03-13,32
2013-03-14,30
2013-03-15,38
2013-03-16,36
2013-03-17,32
2013-03-18,34
2013-03-19,36
2013-03-20,32
2013-03-21,22
2013-03-22,28
2013-03-23,34
2013-03-24,34
2013-03-25,32
2013-03-26,34
2013-03-27,34
2013-03-28,37
2013-03-29,43
2013-03-30,43
2013-03-31,44
