,Edition,Athlete,NOC,Medal
1937,1912,"BLOMGREN, Gustaf",SWE,Bronze
1938,1912,"ADLERZ, Erik",SWE,Gold
1939,1912,"ZÜRNER, Albert",GER,Silver
1940,1912,"WHITE, Isabella Mary",GBR,Bronze
1941,1912,"JOHANSSON, Greta",SWE,Gold
1942,1912,"REGNELL, Lisa",SWE,Silver
1943,1912,"BEHRENS, Kurt",GER,Bronze
1944,1912,"GÜNTHER, Paul",GER,Gold
1945,1912,"LUBER, Hans",GER,Silver
1946,1912,"JANSSON, John",SWE,Bronze
1947,1912,"ADLERZ, Erik",SWE,Gold
1948,1912,"JOHANSSON, Hjalmar",SWE,Silver
1949,1912,"KELLNER, Paul",GER,Bronze
1950,1912,"HEBNER, Harry J.",USA,Gold
1951,1912,"FAHR, Otto",GER,Silver
1952,1912,"HUSZAGH, Kenneth",USA,Bronze
1953,1912,"KAHANAMOKU, Duke Paoa",USA,Gold
1954,1912,"HEALY, Cecil",ANZ,Silver
1955,1912,"FLETCHER, Jennie",GBR,Bronze
1956,1912,"DURACK, Fanny",ANZ,Gold
1957,1912,"WYLIE, Wilhelmina",ANZ,Silver
1958,1912,"HARDWICK, Harold H.",ANZ,Bronze
1959,1912,"HODGSON, George Ritchie",CAN,Gold
1960,1912,"HATFIELD, John Gatenby",GBR,Silver
1961,1912,"MALISCH, Kurt Paul",GER,Bronze
1962,1912,"BATHE, Walter",GER,Gold
1963,1912,"LÜTZOW, Willy",GER,Silver
1964,1912,"COURTMAN, Percy",GBR,Bronze
1965,1912,"BATHE, Walter",GER,Gold
1966,1912,"HENNING, Tor",SWE,Silver
1967,1912,"HARDWICK, Harold H.",ANZ,Bronze
1968,1912,"HODGSON, George Ritchie",CAN,Gold
1969,1912,"HATFIELD, John Gatenby",GBR,Silver
1970,1912,"ADLER, Margarete",AUT,Bronze
1971,1912,"MILCH, Klara",AUT,Bronze
1972,1912,"STICKER, Josephine",AUT,Bronze
1973,1912,"ZAHOUREK, Bertha",AUT,Bronze
1974,1912,"FLETCHER, Jennie",GBR,Gold
1975,1912,"MOORE, Isabella Mary",GBR,Gold
1976,1912,"SPEIRS, Annie",GBR,Gold
1977,1912,"STEER, Irene",GBR,Gold
1978,1912,"DRESSEL, Wally",GER,Silver
1979,1912,"OTTO, Louise",GER,Silver
1980,1912,"ROSENBERG, Grete",GER,Silver
1981,1912,"STINDT, Hermine",GER,Silver
1982,1912,"BATTERSBY, Thomas Sidney",GBR,Bronze
1983,1912,"FOSTER, William",GBR,Bronze
1984,1912,"HATFIELD, John Gatenby",GBR,Bronze
1985,1912,"TAYLOR, Henry",GBR,Bronze
1986,1912,"BOARDMAN, Leslie",ANZ,Gold
1987,1912,"CHAMPION, Malcolm",ANZ,Gold
