Date,Open,High,Low,Close,DayCount
2013-01-02,13104.299805,13412.709961,13104.299805,13412.549805,1827.0
2013-01-03,13413.009766,13430.599609,13358.299805,13391.360352,1828.0
2013-01-04,13391.049805,13447.110352,13376.230469,13435.209961,1829.0
2013-01-07,13436.129883,13436.129883,13343.320313,13384.290039,1832.0
2013-01-08,13377.419922,13377.419922,13293.129883,13328.849609,1833.0
2013-01-09,13329.919922,13416.549805,13329.080078,13390.509766,1834.0
2013-01-10,13391.820313,13478.200195,13382.290039,13471.219727,1835.0
2013-01-11,13471.450195,13496.679688,13439.969727,13488.429688,1836.0
2013-01-14,13488.429688,13520.179688,13459.839844,13507.320313,1839.0
2013-01-15,13507.320313,13546.370117,13445.799805,13534.889648,1840.0
2013-01-16,13534.889648,13534.889648,13468.959961,13511.230469,1841.0
2013-01-17,13511.230469,13633.889648,13510.240234,13596.019531,1842.0
2013-01-18,13596.019531,13649.929688,13571.860352,13649.700195,1843.0
2013-01-22,13649.700195,13712.209961,13622.959961,13712.209961,1847.0
2013-01-23,13712.209961,13794.290039,13710.129883,13779.330078,1848.0
2013-01-24,13779.330078,13879.660156,13779.330078,13825.330078,1849.0
2013-01-25,13825.330078,13895.980469,13825.330078,13895.980469,1850.0
2013-01-28,13895.980469,13915.719727,13862.570313,13881.929688,1853.0
2013-01-29,13881.929688,13969.990234,13880.009766,13954.419922,1854.0
2013-01-30,13954.419922,13966.129883,13896.950195,13910.419922,1855.0
2013-01-31,13910.419922,13941.059570,13860.580078,13860.580078,1856.0
2013-02-01,13860.580078,14019.780273,13860.580078,14009.790039,1857.0
2013-02-04,14009.790039,14009.790039,13866.830078,13880.080078,1860.0
2013-02-05,13880.080078,14013.599609,13880.080078,13979.299805,1861.0
2013-02-06,13979.299805,13991.610352,13913.179688,13986.519531,1862.0
2013-02-07,13986.519531,13988.059570,13852.200195,13944.049805,1863.0
2013-02-08,13944.049805,14022.620117,13944.049805,13992.969727,1864.0
2013-02-11,13992.969727,13992.969727,13940.410156,13971.240234,1867.0
2013-02-12,13971.240234,14038.969727,13968.940430,14018.700195,1868.0
2013-02-13,14018.700195,14029.349609,13945.780273,13982.910156,1869.0
2013-02-14,13982.910156,13990.360352,13921.940430,13973.389648,1870.0
2013-02-15,13973.389648,14001.929688,13906.730469,13981.759766,1871.0
2013-02-19,13981.759766,14044.820313,13977.900391,14035.669922,1875.0
2013-02-20,14035.669922,14058.269531,13919.280273,13927.540039,1876.0
2013-02-21,13927.540039,13927.540039,13834.400391,13880.620117,1877.0
2013-02-22,13880.620117,14001.190430,13880.620117,14000.570313,1878.0
2013-02-25,14000.570313,14081.580078,13784.009766,13784.169922,1881.0
2013-02-26,13784.169922,13918.440430,13784.169922,13900.129883,1882.0
2013-02-27,13900.129883,14104.860352,13880.190430,14075.370117,1883.0
2013-02-28,14075.370117,14149.150391,14050.179688,14054.490234,1884.0
2013-03-01,14054.490234,14107.089844,13937.599609,14089.660156,1885.0
2013-03-04,14089.660156,14128.209961,14030.370117,14127.820313,1888.0
2013-03-05,14127.820313,14286.370117,14127.820313,14253.769531,1889.0
2013-03-06,14253.769531,14320.650391,14253.000000,14296.240234,1890.0
2013-03-07,14296.240234,14354.690430,14296.240234,14329.490234,1891.0
2013-03-08,14329.490234,14413.169922,14329.490234,14397.070313,1892.0
2013-03-11,14397.070313,14448.059570,14373.320313,14447.290039,1895.0
2013-03-12,14447.290039,14478.799805,14412.059570,14450.059570,1896.0
2013-03-13,14450.059570,14472.799805,14411.660156,14455.280273,1897.0
2013-03-14,14455.280273,14539.290039,14455.280273,14539.139648,1898.0
2013-03-15,14539.139648,14539.139648,14470.500000,14514.110352,1899.0
2013-03-18,14514.110352,14521.589844,14404.209961,14452.059570,1902.0
2013-03-19,14452.059570,14514.339844,14382.089844,14455.820313,1903.0
2013-03-20,14455.820313,14546.820313,14455.820313,14511.730469,1904.0
2013-03-21,14511.730469,14511.730469,14383.019531,14421.490234,1905.0
2013-03-22,14421.490234,14519.950195,14421.490234,14512.030273,1906.0
2013-03-25,14512.030273,14563.750000,14395.000000,14447.750000,1909.0
2013-03-26,14447.750000,14561.540039,14447.750000,14559.650391,1910.0
2013-03-27,14559.650391,14559.650391,14439.549805,14526.160156,1911.0
2013-03-28,14526.160156,14585.099609,14520.860352,14578.540039,1912.0
2013-04-01,14578.540039,14605.719727,14531.480469,14572.849609,1916.0
2013-04-02,14572.849609,14684.490234,14572.849609,14662.009766,1917.0
2013-04-03,14662.009766,14683.129883,14525.360352,14550.349609,1918.0
2013-04-04,14550.349609,14625.240234,14538.719727,14606.110352,1919.0
2013-04-05,14606.110352,14606.110352,14434.429688,14565.250000,1920.0
2013-04-08,14565.250000,14613.480469,14497.799805,14613.480469,1923.0
2013-04-09,14613.480469,14716.459961,14598.500000,14673.459961,1924.0
2013-04-10,14673.459961,14826.660156,14673.459961,14802.240234,1925.0
2013-04-11,14802.240234,14887.509766,14785.360352,14865.139648,1926.0
2013-04-12,14865.139648,14865.209961,14790.570313,14865.059570,1927.0
2013-04-15,14865.059570,14865.059570,14598.580078,14599.200195,1930.0
2013-04-16,14599.200195,14761.730469,14599.200195,14756.780273,1931.0
2013-04-17,14756.780273,14756.780273,14560.809570,14618.589844,1932.0
2013-04-18,14618.589844,14650.259766,14495.290039,14537.139648,1933.0
2013-04-19,14537.139648,14553.730469,14444.030273,14547.509766,1934.0
2013-04-22,14547.509766,14588.830078,14457.599609,14567.169922,1937.0
2013-04-23,14567.169922,14721.419922,14554.290039,14719.459961,1938.0
2013-04-24,14719.459961,14747.419922,14666.540039,14676.299805,1939.0
2013-04-25,14676.299805,14768.049805,14665.450195,14700.799805,1940.0
2013-04-26,14700.799805,14743.490234,14684.820313,14712.549805,1941.0
2013-04-29,14712.549805,14844.959961,14712.549805,14818.750000,1944.0
2013-04-30,14818.750000,14839.799805,14734.469727,14839.799805,1945.0
2013-05-01,14839.799805,14839.799805,14687.049805,14700.950195,1946.0
2013-05-02,14700.950195,14834.629883,14700.950195,14831.580078,1947.0
2013-05-03,14831.580078,15009.589844,14831.580078,14973.959961,1948.0
2013-05-06,14973.959961,14988.870117,14941.089844,14968.889648,1951.0
2013-05-07,14968.889648,15056.669922,14968.889648,15056.200195,1952.0
2013-05-08,15056.200195,15106.809570,15021.870117,15105.120117,1953.0
2013-05-09,15105.120117,15144.830078,15046.870117,15082.620117,1954.0
2013-05-10,15082.620117,15118.490234,15038.179688,15118.490234,1955.0
2013-05-13,15113.419922,15113.419922,15053.459961,15091.679688,1958.0
2013-05-14,15091.679688,15219.549805,15089.299805,15215.250000,1959.0
2013-05-15,15211.870117,15301.339844,15175.389648,15275.690430,1960.0
2013-05-16,15273.919922,15302.490234,15215.820313,15233.219727,1961.0
2013-05-17,15234.750000,15357.400391,15234.750000,15354.400391,1962.0
2013-05-20,15348.330078,15391.839844,15314.150391,15335.280273,1965.0
2013-05-21,15334.969727,15434.500000,15325.679688,15387.580078,1966.0
2013-05-22,15387.120117,15542.400391,15265.959961,15307.169922,1967.0
2013-05-23,15300.570313,15348.410156,15180.230469,15294.500000,1968.0
2013-05-24,15290.740234,15306.709961,15199.629883,15303.099609,1969.0
2013-05-28,15307.330078,15521.490234,15307.330078,15409.389648,1973.0
2013-05-29,15399.940430,15400.250000,15229.530273,15302.799805,1974.0
2013-05-30,15306.019531,15398.700195,15280.990234,15324.530273,1975.0
2013-05-31,15322.219727,15392.379883,15115.570313,15115.570313,1976.0
2013-06-03,15123.549805,15254.110352,15123.549805,15254.030273,1979.0
